index,County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Alzheimer's Disease/Dementia Prevalence (%),Arthritis Prevalence (%),Asthma Prevalence (%),Atrial Fibrillation Prevalence (%),Autism Spectrum Disorders Prevalence (%),COPD Prevalence (%),Cancer Prevalence (%),Chronic Kidney Disease Prevalence (%),Depression  Prevalence (%),Diabetes Prevalence (%),HIV/AIDS Prevalence (%),Heart Failure Prevalence (%),Hepatitis (Chronic Viral B & C) Prevalence (%),Hyperlipidemia Prevalence (%),Hypertension Prevalence (%),Ischemic Heart Disease Prevalence (%),Osteoporosis Prevalence (%),Schizophrenia/Other Psychotic Disorders Prevalence (%),Stroke Prevalence (%)
44,CHELAN,530072008.0,200853007,2008,53007,8.8,21.0,3.4,8.3,,7.4,7.7,9.2,13.4,19.8,,10.4,0.8,33.4,41.1,19.2,4.2,2.0,2.8
45,CLALLAM,530092008.0,200853009,2008,53009,7.9,24.0,3.9,7.9,,7.9,7.1,7.1,10.7,19.5,0.1,12.0,0.7,34.3,43.6,20.4,5.9,2.2,2.8
46,CLARK,530112008.0,200853011,2008,53011,9.3,16.1,3.7,7.2,0.1,8.1,5.7,10.9,12.5,21.7,0.2,13.4,0.7,28.5,39.9,19.5,3.8,3.3,3.1
47,COLUMBIA,530132008.0,200853013,2008,53013,8.8,21.8,4.8,7.2,,10.6,7.2,11.2,11.6,23.0,,15.5,0.0,33.2,41.6,26.6,3.4,3.7,2.7
48,COWLITZ,530152008.0,200853015,2008,53015,8.9,22.0,4.9,8.1,0.1,12.4,6.5,12.5,14.5,23.4,0.2,16.3,0.6,32.1,44.6,22.2,5.2,3.9,3.2
49,DOUGLAS,530172008.0,200853017,2008,53017,10.0,24.1,2.9,9.0,,9.2,8.1,10.5,14.8,21.5,,12.8,0.6,36.5,44.2,20.8,4.8,2.0,3.7
50,FERRY,530192008.0,200853019,2008,53019,4.5,16.3,2.3,5.8,0.0,13.0,4.9,6.5,8.7,18.2,,12.4,1.4,21.7,30.8,22.4,3.2,2.3,2.9
51,FRANKLIN,530212008.0,200853021,2008,53021,10.0,21.0,4.5,6.2,,9.9,6.8,11.2,12.1,28.4,0.2,12.3,0.8,43.9,46.7,26.3,5.1,2.6,3.8
52,GARFIELD,530232008.0,200853023,2008,53023,16.8,25.3,,7.3,0.0,7.9,10.3,14.5,12.9,27.9,,18.2,0.0,54.7,50.7,28.9,6.1,,2.8
53,GRANT,530252008.0,200853025,2008,53025,9.2,25.9,3.2,7.3,,9.8,6.6,10.4,11.5,26.5,0.2,14.7,0.4,33.8,44.6,22.5,3.7,2.3,3.1
54,GRAYS HARBOR,530272008.0,200853027,2008,53027,8.0,20.8,4.3,7.9,,12.0,6.3,11.4,12.7,24.2,0.1,16.4,0.6,39.0,49.9,25.3,4.3,2.4,3.6
55,ISLAND,530292008.0,200853029,2008,53029,7.7,22.6,3.6,7.7,,7.5,8.3,8.9,11.5,19.5,0.2,12.7,0.5,36.0,43.5,20.8,4.9,1.6,2.8
56,JEFFERSON,530312008.0,200853031,2008,53031,6.3,17.5,2.5,8.7,,6.2,7.6,7.9,10.0,16.3,0.1,12.0,0.6,34.0,42.6,17.6,4.3,1.2,3.1
57,KING,530332008.0,200853033,2008,53033,10.1,19.2,3.4,7.3,0.1,6.7,7.0,11.2,11.9,19.4,0.6,11.7,1.0,30.9,41.2,20.6,5.4,3.5,3.1
58,KITSAP,530352008.0,200853035,2008,53035,9.2,19.3,4.2,8.3,0.1,7.7,6.7,10.9,12.1,21.3,0.3,15.3,0.6,34.8,45.5,19.4,4.4,2.7,3.4
59,KITTITAS,530372008.0,200853037,2008,53037,7.3,22.6,2.7,7.4,,7.2,7.4,7.8,9.8,19.2,,10.9,0.5,35.7,38.5,19.6,3.2,2.2,2.3
60,KLICKITAT,530392008.0,200853039,2008,53039,6.9,15.5,3.0,6.4,,7.7,7.0,6.3,8.8,20.6,,13.4,0.5,28.4,34.3,17.9,3.3,2.1,2.9
61,LEWIS,530412008.0,200853041,2008,53041,8.5,19.1,2.9,7.7,,9.3,6.9,9.6,12.0,21.9,0.1,15.5,0.7,32.9,41.2,21.5,5.6,1.9,3.1
62,LINCOLN,530432008.0,200853043,2008,53043,9.7,27.5,3.5,8.9,0.0,11.7,7.6,12.0,11.2,24.0,,13.8,,35.4,44.1,25.9,5.8,1.7,3.5
63,MASON,530452008.0,200853045,2008,53045,6.8,20.5,3.1,8.1,,8.0,7.5,8.1,10.4,20.5,0.1,13.3,0.7,32.4,40.8,22.2,3.7,1.6,2.4
64,OKANOGAN,530472008.0,200853047,2008,53047,8.0,20.1,2.8,6.9,,9.3,6.0,9.9,11.4,21.0,0.3,12.7,0.5,32.9,37.2,21.4,3.7,1.9,2.4
65,PACIFIC,530492008.0,200853049,2008,53049,7.8,22.8,3.2,8.3,,11.1,6.9,9.4,10.6,24.5,,15.1,0.7,36.8,49.1,24.4,4.4,1.8,2.8
66,PEND OREILLE,530512008.0,200853051,2008,53051,6.2,19.0,2.9,6.1,0.0,9.7,5.7,9.4,9.3,22.6,,12.7,0.7,29.6,34.6,22.9,4.5,2.2,2.8
67,PIERCE,530532008.0,200853053,2008,53053,8.7,21.8,3.9,7.1,0.1,10.0,6.5,11.7,12.4,22.4,0.2,14.6,0.9,35.0,46.0,20.6,5.9,3.4,3.4
68,SAN JUAN,530552008.0,200853055,2008,53055,7.4,18.4,3.0,9.2,,4.7,7.7,6.3,10.4,12.8,,9.7,0.9,31.0,36.5,17.8,3.8,1.2,2.1
69,SKAGIT,530572008.0,200853057,2008,53057,8.5,19.7,3.2,9.0,0.1,7.7,7.6,9.0,13.2,20.2,0.1,12.0,0.6,33.1,45.2,20.6,4.7,2.6,3.0
70,SKAMANIA,530592008.0,200853059,2008,53059,6.9,11.7,3.1,7.4,,7.2,6.8,8.1,9.3,20.9,0.0,14.7,,22.1,37.1,15.5,2.9,1.7,2.6
71,SNOHOMISH,530612008.0,200853061,2008,53061,8.9,19.7,3.4,7.7,0.1,7.6,6.9,12.1,12.7,22.1,0.3,12.2,0.9,30.6,40.7,20.6,4.5,3.1,3.2
72,SPOKANE,530632008.0,200853063,2008,53063,9.9,22.1,3.4,7.7,0.1,9.5,7.1,11.8,12.6,20.8,0.2,12.6,0.7,35.1,42.8,21.3,6.5,3.5,3.5
73,STEVENS,530652008.0,200853065,2008,53065,6.9,22.5,3.2,7.0,0.0,11.1,6.9,8.5,8.4,20.8,,12.5,0.6,26.1,34.2,22.9,5.1,1.9,3.2
74,THURSTON,530672008.0,200853067,2008,53067,9.0,20.9,3.6,6.7,0.1,7.9,6.5,9.7,12.2,20.1,0.2,13.3,0.7,29.5,38.5,20.7,4.6,3.0,2.9
75,WAHKIAKUM,530692008.0,200853069,2008,53069,6.6,21.3,,9.7,0.0,9.4,6.4,11.7,9.9,22.0,,15.4,,33.0,43.6,24.6,3.9,,2.3
76,WALLA WALLA,530712008.0,200853071,2008,53071,11.7,21.8,4.5,8.8,,8.9,9.3,9.0,11.4,21.9,,15.6,0.5,34.4,43.9,23.0,6.3,2.8,3.4
77,WHATCOM,530732008.0,200853073,2008,53073,9.0,18.2,3.9,9.3,0.1,7.5,7.3,9.8,13.2,20.7,0.3,12.7,1.5,34.6,44.5,23.4,5.5,3.4,2.9
78,WHITMAN,530752008.0,200853075,2008,53075,9.5,30.6,6.8,7.6,,10.0,8.1,11.9,9.9,22.9,,16.9,0.4,30.7,46.0,25.2,6.5,3.3,4.3
79,YAKIMA,530772008.0,200853077,2008,53077,8.9,21.9,3.8,7.6,0.1,9.4,7.6,10.8,12.2,26.1,0.2,15.5,0.7,37.9,45.7,24.5,4.9,2.7,3.3
80,STATE TOTAL,0.2009,2009,2009,.,9.2,21.3,3.7,7.7,0.1,8.4,7.0,11.7,12.7,21.7,0.3,12.8,0.8,34.2,43.9,21.0,5.2,3.1,3.1
81,ADAMS,530012009.0,200953001,2009,53001,9.7,23.9,3.4,7.4,0.0,8.6,6.4,12.8,10.4,26.6,0.0,14.7,,37.1,48.6,26.9,5.1,1.8,2.7
82,ASOTIN,530032009.0,200953003,2009,53003,11.4,25.7,4.0,7.8,,10.3,8.8,11.8,11.3,25.0,,16.7,0.5,37.6,45.6,24.0,4.8,2.4,3.4
83,BENTON,530052009.0,200953005,2009,53005,11.5,24.8,4.7,7.3,0.1,10.5,7.8,12.0,14.1,26.2,0.1,12.8,0.7,44.1,49.4,25.8,6.3,2.7,3.9
84,CHELAN,530072009.0,200953007,2009,53007,8.6,20.9,3.1,8.2,,7.3,7.1,9.1,13.8,19.9,,9.9,0.7,32.5,40.8,19.1,4.6,2.4,3.1
