index,County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Alzheimer's Disease/Dementia Prevalence (%),Arthritis Prevalence (%),Asthma Prevalence (%),Atrial Fibrillation Prevalence (%),Autism Spectrum Disorders Prevalence (%),COPD Prevalence (%),Cancer Prevalence (%),Chronic Kidney Disease Prevalence (%),Depression  Prevalence (%),Diabetes Prevalence (%),HIV/AIDS Prevalence (%),Heart Failure Prevalence (%),Hepatitis (Chronic Viral B & C) Prevalence (%),Hyperlipidemia Prevalence (%),Hypertension Prevalence (%),Ischemic Heart Disease Prevalence (%),Osteoporosis Prevalence (%),Schizophrenia/Other Psychotic Disorders Prevalence (%),Stroke Prevalence (%)
262,LINCOLN,530432013.0,201353043,2013,53043,6.7,28.4,3.4,8.1,0.0,8.1,7.2,10.1,12.2,22.9,,8.6,0.5,35.6,44.2,20.5,5.4,2.5,3.0
263,MASON,530452013.0,201353045,2013,53045,7.0,24.5,3.8,8.0,,8.8,7.0,11.2,11.8,21.6,0.1,11.9,0.7,32.2,40.8,20.3,3.3,1.3,2.6
264,OKANOGAN,530472013.0,201353047,2013,53047,5.5,19.3,3.2,7.4,,9.1,6.7,12.1,14.4,21.0,,9.0,0.6,35.5,41.1,18.0,3.0,1.7,2.5
265,PACIFIC,530492013.0,201353049,2013,53049,6.9,24.4,3.7,9.0,,10.6,6.8,10.2,13.3,25.5,,12.9,0.6,41.0,49.1,21.7,3.3,1.6,2.5
266,PEND OREILLE,530512013.0,201353051,2013,53051,4.6,23.2,2.7,5.7,,9.9,5.9,10.3,10.8,20.9,,8.5,0.5,31.1,36.1,17.7,3.5,2.1,2.2
267,PIERCE,530532013.0,201353053,2013,53053,8.1,23.5,4.4,7.3,0.1,9.4,7.0,16.0,14.1,22.9,0.2,13.1,0.9,36.1,45.5,19.6,5.0,3.2,2.9
268,SAN JUAN,530552013.0,201353055,2013,53055,7.3,18.8,2.3,9.1,,4.0,6.8,6.9,10.6,11.5,,8.4,0.3,26.5,31.3,15.7,2.4,1.4,2.4
269,SKAGIT,530572013.0,201353057,2013,53057,7.7,23.2,3.2,9.2,0.1,7.4,7.5,12.1,14.8,20.8,0.1,10.8,0.7,33.3,44.0,18.7,3.4,2.2,2.6
270,SKAMANIA,530592013.0,201353059,2013,53059,6.2,19.7,3.9,7.4,,7.1,4.8,10.4,16.5,19.5,,9.8,1.0,27.1,43.7,17.0,2.8,1.2,2.9
271,SNOHOMISH,530612013.0,201353061,2013,53061,8.3,21.7,4.1,8.0,0.1,7.6,7.0,15.9,14.9,21.4,0.2,10.8,0.9,31.7,40.8,18.6,3.6,3.2,3.1
272,SPOKANE,530632013.0,201353063,2013,53063,9.6,26.5,4.2,8.1,0.1,9.4,7.5,14.4,15.4,20.8,0.3,10.8,0.7,36.3,44.4,19.8,6.1,4.2,2.8
273,STEVENS,530652013.0,201353065,2013,53065,6.3,26.9,4.1,6.9,,9.9,6.7,10.7,11.3,21.2,,8.8,0.5,27.5,36.5,20.5,3.9,2.3,2.6
274,THURSTON,530672013.0,201353067,2013,53067,8.5,22.7,4.2,7.3,0.2,7.8,6.9,14.3,14.7,20.6,0.2,12.0,0.8,31.5,40.7,19.0,4.4,3.1,2.8
275,WAHKIAKUM,530692013.0,201353069,2013,53069,5.3,21.3,3.8,7.7,0.0,8.4,6.4,13.7,12.2,22.3,0.0,13.5,,32.3,43.9,19.5,4.0,1.2,
276,WALLA WALLA,530712013.0,201353071,2013,53071,11.0,26.9,5.3,9.0,,9.5,8.4,13.9,15.4,22.6,0.2,13.4,0.6,38.1,44.7,23.4,6.2,2.7,3.2
277,WHATCOM,530732013.0,201353073,2013,53073,8.5,22.5,3.9,8.8,0.1,7.3,7.1,12.1,15.3,21.5,0.3,11.4,1.4,33.0,41.8,19.5,4.7,3.4,2.6
278,WHITMAN,530752013.0,201353075,2013,53075,8.7,32.4,5.4,8.5,,9.7,6.9,12.9,10.9,23.6,,13.7,0.4,32.9,45.1,21.7,5.8,2.5,3.1
279,YAKIMA,530772013.0,201353077,2013,53077,8.7,24.3,4.8,6.7,0.1,9.1,7.1,14.6,16.3,27.2,0.1,12.4,0.8,40.6,49.2,22.7,4.3,3.1,3.1
280,STATE TOTAL,0.2014,2014,2014,.,8.4,23.3,4.2,7.9,0.1,8.1,7.0,14.6,14.8,21.7,0.3,11.2,0.9,34.0,43.0,19.1,4.5,3.0,2.9
281,ADAMS,530012014.0,201453001,2014,53001,8.9,25.2,4.0,7.5,,7.3,6.2,16.5,13.9,25.8,,11.0,,37.7,49.2,25.8,4.1,1.4,2.4
282,ASOTIN,530032014.0,201453003,2014,53003,6.7,29.1,5.8,7.7,,11.2,7.6,12.8,14.4,25.1,,14.6,0.6,36.2,47.0,23.0,4.0,2.6,2.5
283,BENTON,530052014.0,201453005,2014,53005,9.9,28.4,6.0,7.9,0.2,10.5,8.0,17.8,15.8,26.1,0.1,10.9,0.7,47.2,50.8,21.5,5.2,2.8,3.3
284,CHELAN,530072014.0,201453007,2014,53007,10.3,23.0,3.8,8.4,0.2,8.0,7.7,14.4,17.2,20.7,,9.5,0.6,33.5,43.6,18.1,4.5,3.2,3.3
285,CLALLAM,530092014.0,201453009,2014,53009,7.7,27.6,4.9,9.0,0.1,8.4,7.0,12.1,14.9,20.4,0.1,11.6,0.8,36.7,46.2,18.8,5.6,1.7,3.2
286,CLARK,530112014.0,201453011,2014,53011,8.7,20.5,5.0,7.4,0.2,8.2,5.9,14.5,16.6,22.4,0.2,12.2,1.1,30.0,40.7,18.5,4.5,3.5,2.8
287,COLUMBIA,530132014.0,201453013,2014,53013,9.8,23.8,4.9,8.1,,10.2,6.3,19.6,13.5,25.6,0.0,12.7,,39.9,46.1,22.8,4.0,3.8,2.2
288,COWLITZ,530152014.0,201453015,2014,53015,8.7,22.5,5.1,8.4,0.2,10.5,6.2,16.0,18.1,24.5,0.2,15.7,0.9,30.9,43.7,19.9,5.7,4.3,3.2
289,DOUGLAS,530172014.0,201453017,2014,53017,9.2,25.3,3.8,9.9,,9.0,8.9,15.7,17.6,23.0,,10.5,0.7,37.3,48.3,19.3,5.3,2.1,2.9
290,FERRY,530192014.0,201453019,2014,53019,4.1,22.2,3.8,6.6,0.0,9.4,5.2,8.6,10.0,17.6,,9.9,,25.2,32.9,19.8,3.7,1.6,2.8
291,FRANKLIN,530212014.0,201453021,2014,53021,8.9,28.6,4.8,6.4,,9.5,6.7,17.6,14.0,28.6,,9.7,0.7,47.0,50.0,22.3,4.8,1.9,3.6
292,GARFIELD,530232014.0,201453023,2014,53023,7.2,27.8,2.5,4.0,,6.3,8.8,9.8,9.8,22.2,,11.8,,26.5,35.0,20.0,3.3,2.3,3.0
293,GRANT,530252014.0,201453025,2014,53025,8.1,26.0,3.1,8.0,,10.1,6.7,15.8,14.0,28.1,0.1,11.9,0.5,38.9,49.4,20.7,3.1,2.2,2.6
294,GRAYS HARBOR,530272014.0,201453027,2014,53027,6.8,21.9,4.5,8.6,0.1,9.9,6.4,14.8,12.8,24.6,0.1,14.2,0.7,35.9,46.2,19.9,2.2,2.3,3.3
295,ISLAND,530292014.0,201453029,2014,53029,6.3,22.8,3.6,8.2,0.1,6.5,7.8,11.9,12.9,20.0,0.1,9.5,0.5,33.6,42.6,17.9,3.6,1.3,2.7
296,JEFFERSON,530312014.0,201453031,2014,53031,4.8,23.2,3.4,7.9,,6.3,7.6,10.7,13.2,16.0,,9.4,0.7,31.0,38.7,15.6,3.4,1.3,2.5
297,KING,530332014.0,201453033,2014,53033,9.5,21.9,3.8,7.9,0.1,6.3,7.1,14.9,14.1,19.6,0.5,10.3,1.1,31.6,41.3,18.5,4.6,3.5,2.9
298,KITSAP,530352014.0,201453035,2014,53035,7.3,21.0,4.6,8.0,0.1,8.3,7.1,13.7,14.6,21.2,0.2,11.7,0.8,35.2,43.3,17.0,4.3,2.4,2.9
299,KITTITAS,530372014.0,201453037,2014,53037,7.2,24.7,3.3,9.3,,7.5,6.9,10.4,13.1,20.4,,9.2,0.5,29.4,40.0,19.0,3.5,2.4,2.5
300,KLICKITAT,530392014.0,201453039,2014,53039,6.0,19.8,2.9,8.0,,8.2,7.0,9.7,12.4,20.8,,11.9,0.6,29.8,35.7,17.6,2.6,1.6,2.2
301,LEWIS,530412014.0,201453041,2014,53041,8.1,22.6,3.6,8.2,,9.4,6.5,14.6,15.3,23.0,,13.3,0.7,34.1,42.4,20.6,3.8,2.1,3.3
302,LINCOLN,530432014.0,201453043,2014,53043,6.4,26.6,3.3,7.0,,7.4,7.4,10.6,12.9,22.8,,7.9,0.6,32.8,42.8,19.8,5.2,2.3,2.7
303,MASON,530452014.0,201453045,2014,53045,7.2,25.4,3.9,7.9,,8.8,6.7,11.4,13.5,21.8,0.1,11.1,0.8,33.4,42.4,20.2,3.3,1.6,2.7
304,OKANOGAN,530472014.0,201453047,2014,53047,5.6,19.8,3.1,7.4,,9.2,6.9,12.9,13.5,21.3,,9.4,0.6,33.4,40.2,18.2,3.1,1.7,2.7
305,PACIFIC,530492014.0,201453049,2014,53049,6.5,23.9,3.2,8.9,,9.7,6.7,10.9,12.4,26.1,0.2,12.2,0.7,38.8,47.1,21.4,2.9,1.8,2.5
306,PEND OREILLE,530512014.0,201453051,2014,53051,4.6,23.3,2.9,5.7,,8.7,5.9,10.4,10.5,20.8,,8.6,0.6,28.0,35.3,17.6,3.5,2.1,2.1
307,PIERCE,530532014.0,201453053,2014,53053,7.9,23.8,4.5,7.5,0.2,9.1,7.0,16.5,14.8,22.6,0.2,12.4,1.0,36.3,44.7,19.5,5.1,3.1,3.0
308,SAN JUAN,530552014.0,201453055,2014,53055,6.8,18.8,2.2,8.2,,3.2,7.2,6.9,9.9,11.0,,7.7,0.3,25.5,29.8,14.9,2.6,1.1,2.5
309,SKAGIT,530572014.0,201453057,2014,53057,7.4,23.4,3.2,8.9,0.2,7.3,7.4,12.2,14.8,20.7,0.1,10.2,0.7,32.0,42.7,18.7,3.4,2.2,2.8
310,SKAMANIA,530592014.0,201453059,2014,53059,6.4,19.5,3.2,7.4,,8.3,5.8,10.3,14.8,18.0,,11.0,1.2,25.0,40.6,16.3,2.6,1.1,3.0
311,SNOHOMISH,530612014.0,201453061,2014,53061,8.0,21.4,4.1,8.0,0.1,7.3,6.8,16.5,15.1,21.4,0.2,10.6,1.0,30.9,40.4,18.3,3.6,3.1,3.1
312,SPOKANE,530632014.0,201453063,2014,53063,9.0,25.9,4.5,8.1,0.2,9.0,7.2,14.4,15.7,20.7,0.3,10.2,0.7,34.7,43.4,19.3,5.7,4.2,3.0
313,STEVENS,530652014.0,201453065,2014,53065,6.3,26.3,4.3,6.7,,10.1,6.6,11.0,11.3,20.7,,8.7,0.6,27.4,37.0,19.7,4.2,2.4,2.9
314,THURSTON,530672014.0,201453067,2014,53067,9.0,23.0,4.0,7.2,0.2,7.6,6.4,14.7,15.2,20.5,0.2,11.6,0.7,30.5,39.3,18.3,4.2,3.0,2.7
315,WAHKIAKUM,530692014.0,201453069,2014,53069,5.0,22.1,3.5,8.1,,10.6,6.4,15.1,13.9,22.5,0.0,15.0,,33.6,41.8,19.8,3.4,1.5,3.4
316,WALLA WALLA,530712014.0,201453071,2014,53071,10.8,25.8,4.6,9.6,0.1,8.9,8.3,15.1,16.5,22.5,0.2,13.3,0.6,37.8,44.5,22.8,6.3,2.9,3.3
317,WHATCOM,530732014.0,201453073,2014,53073,7.9,21.8,4.3,8.7,0.2,7.5,6.6,12.5,15.8,20.8,0.3,11.0,1.5,33.5,41.5,19.3,4.9,3.4,2.9
318,WHITMAN,530752014.0,201453075,2014,53075,8.4,31.7,5.4,7.9,,8.9,6.9,13.7,11.7,23.4,,12.4,0.4,30.9,42.9,21.3,5.2,2.6,3.0
319,YAKIMA,530772014.0,201453077,2014,53077,8.3,24.9,4.6,7.1,0.1,9.0,6.8,14.9,16.6,27.1,0.1,12.3,0.7,39.4,48.2,21.9,4.6,3.2,2.8
